,1,2,3,4,5,6,7,8,9
309,7:00p,Miami Heat,84,Indiana Pacers,90,Box Score,,"18,165",
310,7:00p,San Antonio Spurs,116,Toronto Raptors,103,Box Score,,"17,702",
311,7:30p,Oklahoma City Thunder,101,Atlanta Hawks,92,Box Score,,"12,503",
312,7:30p,Boston Celtics,96,Brooklyn Nets,104,Box Score,,"15,738",
313,7:30p,Minnesota Timberwolves,121,Detroit Pistons,94,Box Score,,"11,251",
314,8:00p,Milwaukee Bucks,78,Chicago Bulls,74,Box Score,,"21,303",
315,10:30p,Phoenix Suns,114,Los Angeles Lakers,108,Box Score,,"18,997",
316,7:00p,Orlando Magic,92,Charlotte Bobcats,83,Box Score,,"11,377",
317,7:30p,Los Angeles Clippers,96,Boston Celtics,88,Box Score,,"17,587",
318,8:00p,Oklahoma City Thunder,116,Memphis Grizzlies,100,Box Score,,"16,345",
319,8:00p,San Antonio Spurs,109,Milwaukee Bucks,77,Box Score,,"11,087",
320,8:00p,Philadelphia 76ers,99,Minnesota Timberwolves,106,Box Score,,"13,450",
321,8:00p,Detroit Pistons,106,New Orleans Pelicans,111,Box Score,OT,"14,517",
322,8:00p,Chicago Bulls,78,New York Knicks,83,Box Score,,"19,812",
323,10:00p,Utah Jazz,122,Sacramento Kings,101,Box Score,,"15,198",
324,10:30p,Dallas Mavericks,93,Golden State Warriors,95,Box Score,,"19,596",
325,8:00p,Los Angeles Clippers,93,Brooklyn Nets,102,Box Score,,"15,563",
